gene,replicate,treatment,time_point,k_on,k_off,k_syn,bf_point,bf_lower,bf_upper,bs_point,bs_lower,bs_upper
ENSMUSG00000000001,3,lps,2,0.3429823506122692,0.0746254789203068,1.0204804029485195,0.017149117530613323,,,13.674691509026019,,
ENSMUSG00000000058,2,lps,6,1.8949083231768995,805.1190306038706,870.734222401033,1.9896537393357445,,,1.0490525793378775,0.9457552493346483,1.1447241470095098
ENSMUSG00000000058,3,lps,2,2.0633580986824898,25.198398412916188,34.398009519962656,2.269693908550739,,,1.2012766796341796,1.129975038239482,1.3008222070946984
ENSMUSG00000000058,3,lps,4,1.8681251960975813,314.3974674931824,436.90405086896146,1.8681251960975813,,,1.3896551214377566,1.3028153046248476,1.4833873327297435
ENSMUSG00000000058,3,lps,6,1.7659754825805678,360.4197973272214,528.833934735436,1.7659754825805678,,,1.46727216056701,1.3271408403304248,1.6197635101373107
ENSMUSG00000000078,1,pic,4,2.75047506587191,445.336419426682,480.64097788671404,2.75047506587191,,,1.0792761537569338,0.981941235809974,1.1697829495104237
ENSMUSG00000000184,1,lps,2,0.5151749084985061,755.1723734688256,800.824297539853,0.5151749084985061,,,1.060452322774109,0.9434364049083045,1.1935839541960174
ENSMUSG00000000184,1,pic,2,0.3046003698834418,110.26079364501452,158.13846412043844,0.3046003698834418,,,1.4342220738004703,1.2905058513738439,1.6179074554240285
ENSMUSG00000000184,1,lps,4,0.7919723522371112,140.24797126151603,356.4828339470077,0.7919723522371112,,,2.5418038545618975,2.3547614534532286,2.7243634069156886
ENSMUSG00000000184,1,pic,4,0.6582799733843491,996.16319188365,1603.2962928110544,0.6582799733843491,,,1.5611873804391347,,
ENSMUSG00000000184,1,lps,6,0.44956197124030317,571.7745705164899,1867.4130814187322,0.44956197124030317,,,3.265995337518908,2.966161916219531,3.5927671865027295
ENSMUSG00000000184,2,lps,2,0.17814905638279063,280.2869226783346,570.0152855642464,0.17814905638279063,,,1.9726743642330402,1.7608169855420357,2.165837925665689
ENSMUSG00000000184,2,lps,4,0.18173294368939838,45.67660692400863,190.14024262531458,0.1908195908738683,,,4.162748843005076,3.800368267626353,4.577622220899571
ENSMUSG00000000184,2,lps,6,0.10589398223461755,27.07230600724262,144.54650670276342,0.11118868134634842,,,5.179097468245605,4.52090127433055,5.975287213110724
ENSMUSG00000000184,2,pic,6,0.008514933152074083,22.834457408512762,40.40345045063603,0.008514933152074083,0.005927517149680175,0.014165057050677417,1.6101604365852755,0.8998710352135745,3.1286834573799585
ENSMUSG00000000184,3,lps,2,0.2426361496465877,31.259966582443553,61.856726353354624,0.2426361496465877,,,1.978784148416046,1.778493562765967,2.20267632610233
ENSMUSG00000000184,3,lps,4,0.21169022618005276,42.7597646785714,224.48179102291226,0.21169022618005276,,,5.249836913518116,4.884565096166238,5.727977855624283
ENSMUSG00000000184,3,pic,4,0.05358399786467236,79.08981325449753,165.33878931671137,0.05626319775790598,0.04167385284739661,0.10027199810688832,1.9650882403476992,1.4368531765438337,2.6981334374872894
ENSMUSG00000000184,3,lps,6,0.24808910143744853,625.0924967607305,3914.288198217631,0.24808910143744853,,,6.261934383314029,5.616843120554331,7.035676300429756
ENSMUSG00000000184,3,pic,6,0.024333009199391298,3.9703159930856553,11.893491666439278,0.025549659659360863,0.021316069803023176,0.0315806780407692,2.8158670962016115,1.985407926659155,4.196511832760401
ENSMUSG00000000247,2,lps,2,0.004631938818612966,1.5724602620957402,1.8082087751094664,0.000231596940930643,,,1.115425651213939,,
ENSMUSG00000000275,1,pic,4,2.253537944971713,489.91248539119664,670.1600153876208,2.253537944971713,,,1.3268802782336138,1.2419970269369185,1.4537252650700574
ENSMUSG00000000326,2,pic,4,0.9083901471882828,0.7537240387722209,1.3491125761813207,0.9083901471882828,0.2791205217534949,1.98841031076367,1.7899290811779842,,
ENSMUSG00000000568,3,lps,2,1.4406725167290542,0.5932055635604416,1.0219689153936127,1.4406725167290542,,,0.01722790510021044,,
ENSMUSG00000000628,1,lps,2,1.884502672091046,209.55796527113512,298.2737696244718,1.884502672091046,,,1.4233473265430516,1.3203182338848096,1.5357407934106662
ENSMUSG00000000628,1,pic,2,2.1122987233987724,135.42025480242546,199.57611202384,2.1122987233987724,,,1.4737537771954146,1.3766343465300472,1.576256094121136
ENSMUSG00000000628,1,lps,4,2.2426823486395593,251.4789555725648,461.1459818076729,2.2426823486395593,,,1.778723795535925,1.6647990709389702,1.9114346680206467
ENSMUSG00000000628,1,pic,4,1.6571398360306908,276.1882152504507,531.852470559313,1.6571398360306908,,,1.9256885022303467,1.7954823432022118,2.0641800222612243
ENSMUSG00000000628,1,lps,6,1.8014591443705845,211.46080213912728,365.56411559194004,1.8915321015891138,,,1.7287559296754342,1.570630685025108,1.865265930422776
ENSMUSG00000000628,2,lps,4,2.412108012224174,499.5366708933406,572.5969814546585,2.412108012224174,,,1.1462561505858244,1.0670289002405786,1.2301205263678983
ENSMUSG00000000805,1,lps,4,0.08874969231768709,213.86369828938612,233.06794078081168,0.07543723847003403,,,1.5148173358854065,1.2032939601456405,1.9477721945864155
ENSMUSG00000000805,1,lps,6,0.03471370008165388,7.574977031856086,14.209783416805145,0.03644938508573657,0.027801477179983658,0.04436224176482527,1.7633316055776793,1.2233006635043973,2.540351690211102
ENSMUSG00000000805,2,lps,4,0.020746457808275706,6.456274500268456,17.789972117662966,0.02282110358910328,0.017690659830598664,0.02571287640761829,2.755454731195715,2.070624138475408,3.6983883204525445
